"party_id","party_size","is_callahead","section_preferences","table_status_created","table_status_seated","table_status_done"
1112,2,FALSE,"{0}",1470775644881,1470775644881,1470775655034
1113,,FALSE,"{0}",1470775692294,1470775692294,1470777247763
1114,9,FALSE,"{0}",1470775717781,1470775717801,1470777237107
1119,1,FALSE,"{0}",1470776137775,1470776137775,1470777242629
1120,3,FALSE,,1470788566003,1470788566003,
1123,3,FALSE,"{0}",1470842383909,1470842398386,1470842470407
1126,50,FALSE,"{0}",1470842444855,1470842444876,1470842468177
1128,6,FALSE,"{0}",1470856716726,,1470856968157
1129,12,FALSE,"{0}",1470856775000,,1470856971356
1132,4,FALSE,"{0}",1470857739840,,1470857773397
1134,1,FALSE,"{0}",1470858527098,,1470858550662
1137,3,FALSE,"{0}",1470889225960,,1470889244528
1139,4,FALSE,"{0}",1470918522635,1470918530316,1470918614132
1140,6,FALSE,"{0}",1470918622988,1470918625649,1470927191962
1147,3,FALSE,"{3}",1470946281450,,1470950581564
1151,2,FALSE,"{0}",1470946531987,,1470946568910
1164,4,FALSE,"{0}",1471014387966,1471014394503,1471014640673
1166,4,FALSE,"{0}",1471021534174,1471021541245,1471027695281
1169,8000,FALSE,"{0}",1471037199562,,
1171,5,FALSE,"{0}",1471037208668,,
1172,50,FALSE,"{0}",1471036442702,1471220489086,1471220489883
1176,5,FALSE,"{3}",1471037592795,1471038043646,
1177,5,FALSE,"{0}",1471045013696,1471045013713,
1202,4,FALSE,"{0}",1471195241496,,
1205,8,FALSE,"{0}",1471201933789,,1471202110663
1210,4,FALSE,"{0}",1471203312115,1471203312115,1471207705725
1215,2,FALSE,"{0}",1471224950722,1471224950722,
1216,8,FALSE,"{0}",1471225302133,,
1217,5,FALSE,"{0}",1471225302621,,
1275,4,FALSE,,1471559883927,1471559883946,1471559895008
1276,2,FALSE,,1471559909528,1471559909528,1471559972295
1277,5,FALSE,"{0}",1471622093742,1471622094633,1471622102476
1278,,FALSE,"{0}",1471622139969,1471622139988,1471622145800
1281,3,FALSE,"{0}",1471623270985,1471632691342,1471632691872
1282,2,FALSE,"{1,2}",1471623206396,,1471623328812
1287,1,FALSE,"{1}",1471623385770,1471623385771,1471632706842
1289,3,FALSE,"{0}",1471623200297,1471623396289,1471632689256
1313,6,FALSE,"{2,1}",1471633153771,,1471633551762
1314,2,FALSE,"{2,1}",1471633231586,1471633280061,1471633560237
1315,4,FALSE,"{3}",1471633148662,1471633323473,1471633561787
1316,9,FALSE,"{2,1,3}",1471633246442,,
1318,7,FALSE,"{3}",1471633396665,1471633396692,1471633563244
1319,6,FALSE,"{2,3}",1471633215405,1471633222131,1471633566603
1321,2,FALSE,"{3}",1471709551759,1471709551759,1471727789847
1327,4,FALSE,"{2}",1471712311681,1471712363839,1471712375977
1330,2,FALSE,"{3}",1471713583892,1471713583892,1471742699180
1331,4,FALSE,"{0}",1471713870542,1471714427542,1471728835654
1332,4,FALSE,"{0}",1471714655361,1471714655362,1471723176037
1333,7,FALSE,"{0}",1471715711185,1471715901842,1471732962952
1334,4,FALSE,"{0}",1471715331608,,1471716395042
1335,2,FALSE,"{2}",1471717132714,1471717213328,1471717783961
1337,2,FALSE,"{3}",1471716929760,1471718662539,1471732178400
1339,4,FALSE,"{0}",1471716939036,1471717142400,1471732446766
1340,3,FALSE,"{0}",1471717102193,1471717174384,1471731600855
1341,4,FALSE,"{3}",1471717783568,1471718401892,1471726220638
1342,3,FALSE,"{0}",1471718061714,1471718222745,1471732045831
1343,2,FALSE,"{0}",1471718112995,,1471719416413
1344,2,FALSE,"{3}",1471718132403,1471718289845,1471729602163
1345,5,FALSE,"{0}",1471718158355,1471728019398,1471730287218
1346,2,FALSE,"{0}",1471718187068,,1471719422614
1347,3,FALSE,"{0}",1471718216560,1471718306900,1471733150357
1349,2,FALSE,"{0}",1471718348055,,1471718650930
1350,2,FALSE,"{0}",1471718466509,,1471719427372
1351,8,FALSE,"{2}",1471718795507,,1471721918140
1352,6,FALSE,"{3}",1471718490766,1471718658814,1471727350608
1353,5,FALSE,"{3}",1471718964484,,1471723171629
1354,2,FALSE,"{2}",1471718692394,,1471719434463
1355,5,FALSE,"{3}",1471718991348,,1471723161851
1356,2,FALSE,"{3}",1471719014900,1471719141921,1471728745915
1357,2,FALSE,"{3}",1471719075954,1471725327802,1471727227689
1358,4,FALSE,"{0}",1471719094523,1471719132230,1471732345549
1361,2,FALSE,"{0}",1471719607024,,1471719612933
1364,2,FALSE,"{0}",1471723921510,,1471724476854
1366,3,FALSE,"{3}",1471723747099,1471723862324,1471731253698
1367,3,FALSE,"{0,3}",1471723969183,,1471724265945
1369,2,FALSE,"{3}",1471724595635,1471725000837,1471729153415
1370,3,FALSE,"{3}",1471724349481,1471724651370,1471731135821
1373,2,FALSE,"{3}",1471724604369,1471725004649,1471727706622
1374,8,FALSE,"{2}",1471716308297,1471730287584,1471803381889
1375,13,FALSE,"{0}",1471730254812,1471730836702,1471737314000
1376,5,FALSE,"{3}",1471726516077,,1471727618220
1378,5,FALSE,"{3}",1471727442272,1471727774591,1471732192106
1379,8,FALSE,"{3}",1471727661306,1471728203094,1471734250453
1380,5,FALSE,"{3}",1471726681007,,1471726697498
1381,4,FALSE,"{3}",1471725769650,,1471726302547
1384,3,FALSE,"{2}",1471726719139,,1471727178462
1385,3,FALSE,"{0}",1471717268530,1471728602968,1471732053832
1387,4,FALSE,"{0}",1471727981343,,1471729183217
1388,3,FALSE,"{3}",1471732273105,,1471733020137
1389,3,FALSE,"{0}",1471728834959,1471728932594,1471733422996
1390,2,FALSE,"{2}",1471728096537,1471728761414,1471742779833
1392,3,FALSE,"{0,3}",1471729015115,1471729330094,1471735873085
1393,2,FALSE,"{2}",1471731004614,1471731473705,1471734909185
1394,3,FALSE,"{0}",1471729260436,1471729937283,1471735935800
1395,2,FALSE,"{0}",1471728628090,1471728986525,1471732989326
1396,5,FALSE,"{0}",1471730125528,1471730196715,1471804007057
1397,2,FALSE,"{3}",1471727720794,1471728030480,1471731213631
1399,3,FALSE,"{2}",1471729237498,1471729299362,1471731889297
1401,6,FALSE,"{0}",1471714434248,,1471731143802
1402,2,FALSE,"{3}",1471728970008,1471729094061,1471803614918
1403,3,FALSE,"{0}",1471729339024,1471729625713,1471736001185
1405,4,FALSE,"{0}",1471730269098,,1471731149839
1406,3,FALSE,"{3}",1471730752688,1471730849796,1471736896719
1407,2,FALSE,"{0}",1471729612597,1471729847469,1471736390371
1408,8,FALSE,"{3}",1471732512600,,1471732958575
1409,4,FALSE,"{3}",1471731531518,,1471732151869
1410,5,FALSE,"{3}",1471729993204,1471730070285,1471733725706
1412,2,FALSE,"{0}",1471729713059,1471730208697,1471735812495
1413,4,FALSE,"{3}",1471730773810,,1471730787607
1414,5,FALSE,"{0}",1471732462544,,1471732618285
1415,2,FALSE,"{3}",1471730788431,1471730969332,1471736892918
1416,6,FALSE,"{0}",1471730420606,1471731055649,1471741067911
1417,2,FALSE,"{3}",1471731222176,1471731324881,1471738492203
1418,4,FALSE,"{0}",1471730505650,,1471731034188
1419,2,FALSE,"{0}",1471729768066,1471730388232,1471735196471
1420,3,FALSE,"{0}",1471730541470,,1471731038593
1421,10,FALSE,"{3}",1471731166218,,1471732165213
1422,4,FALSE,"{0}",1471731622049,,1471731965728
1423,2,FALSE,"{0}",1471730449317,1471730917776,1471741359821
1424,3,FALSE,"{3}",1471731668264,,1471732171603
1425,2,FALSE,"{0}",1471731045567,,1471731578105
1428,2,FALSE,"{3}",1471736424662,,1471736604367
1429,8,FALSE,"{3}",1471732544371,1471734383616,1471742682176
1431,6,FALSE,"{2}",1471736071377,,1471736408598
1432,6,FALSE,"{0}",1471731062420,,1471732889367
1433,3,FALSE,"{0}",1471732006818,1471732140139,1471737897045
1435,2,FALSE,"{3}",1471731694418,,1471732198749
1436,5,FALSE,"{0}",1471735132731,,1471735656496
1437,4,FALSE,"{0}",1471731073428,,1471731587604
1438,3,FALSE,"{0}",1471736517511,,1471737937917
1440,2,FALSE,"{3}",1471731713007,,1471732579682
1441,4,FALSE,"{0}",1471736477159,,1471736779904
1442,6,FALSE,"{3}",1471732556558,,1471733050101
1444,2,FALSE,"{3}",1471736503986,,1471737156457
1448,3,FALSE,"{3}",1471733079817,,1471733504297
1449,3,FALSE,"{0}",1471731083703,,1471731593517
1450,6,FALSE,"{0}",1471732015923,,1471732900944
1451,4,FALSE,"{0}",1471732139047,1471732749331,1471804618983
1453,2,FALSE,"{3}",1471733065446,,1471733584725
1457,4,FALSE,"{0}",1471732034114,,1471732904710
1458,5,FALSE,"{3}",1471735976978,,1471736201361
1459,2,FALSE,"{3}",1471733741779,1471733852090,1471739370365
1460,3,FALSE,"{3}",1471733403715,1471735232214,1471740726392
1461,4,FALSE,"{3}",1471733627170,1471733869511,1471780531532
1462,6,FALSE,"{0}",1471733262733,,1471734138958
1463,10,FALSE,"{0}",1471733215439,,1471735321766
1464,5,FALSE,"{3}",1471736927159,1471736955387,1471801915640
1465,2,FALSE,"{0}",1471733438089,,1471733773311
1466,6,FALSE,"{0}",1471733317557,1471737014858,1471745069740
1467,2,FALSE,"{0}",1471733452995,,1471733957899
1469,4,FALSE,"{3}",1471734476092,1471734914090,1471740546441
1471,2,FALSE,"{0}",1471734077091,1471734267651,1471739377966
1472,6,FALSE,"{0}",1471733781837,,1471737942765
1473,2,FALSE,"{0}",1471734094040,,1471734548334
1474,2,FALSE,"{0}",1471734152645,,1471742921242
1478,6,FALSE,"{0}",1471734708855,1471734793748,1471738559406
1480,6,FALSE,"{0}",1471734039094,1471734122835,1471741544092
1481,2,FALSE,"{0}",1471734183779,1471736819642,1471740541805
1482,7,FALSE,"{3}",1471734125972,,1471737760946
1484,4,FALSE,"{3}",1471734207917,,1471742805571
1485,3,FALSE,"{3}",1471737954637,1471737982324,1471743495161
1486,5,FALSE,"{3}",1471738665661,,1471739117407
1487,2,FALSE,"{3}",1471739696022,1471739701511,1471744420650
1489,2,FALSE,"{0}",1471734223348,,1471734756723
1490,2,FALSE,"{0}",1471734773681,,1471735270161
1491,4,FALSE,"{0}",1471734797529,,1471735274650
1492,2,FALSE,"{0}",1471734908892,1471735064288,1471743996666
1493,3,FALSE,"{3}",1471740725324,1471741603651,1471780558305
1494,4,FALSE,"{0}",1471737975533,1471738503389,1471744001084
1495,8,FALSE,"{0}",1471734881951,,1471735357484
